position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,Cruciate ligament tear - Return unknown,2024-07-19,Oliver Dovin,188,527329,"['Sweden', 'England']",2000000,Hammarby IF,24,2002-11-07,,,,False,
Goalkeeper,right,,2019-01-07,Ben Wilson,186,121352,['England'],300000,Bradford City,33,1992-09-08,,,,False,
Centre-Back,right,,2023-07-22,Bobby Thomas,186,788283,['England'],16000000,Burnley FC,25,2001-01-30,,,,False,
Centre-Back,left,,2023-01-09,Liam Kitching,186,534701,"['England', 'Ireland']",14000000,Barnsley FC,26,1999-09-25,,,,False,
Centre-Back,right,,2026-07-16,Aurèle Amenda,194,635645,"['Switzerland', 'Cameroon']",10000000,Eintracht Frankfurt,22,2003-07-31,,,,False,
Centre-Back,right,,2023-07-18,Joel Latibeaudiere,180,412823,"['Jamaica', 'England']",3000000,Swansea City,26,2000-06-01,,,,False,
Centre-Back,right,,2025-01-09,Luke Woolfenden,193,527425,['England'],2000000,Ipswich Town,27,1998-10-21,,,,False,
Left-Back,left,,2023-01-07,Jay Dasilva,170,258915,"['Wales', 'England']",9000000,Bristol City,28,1998-04-22,,,,False,
Left-Back,left,unknown injury - Return unknown,2025-01-07,Miguel Ángel Brau,183,713649,['Spain'],1000000,Granada CF,24,2001-12-27,,,,False,
Left-Back,left,,2022-01-17,Jake Bidwell,183,121250,['England'],600000,: Ablöse free transfer,33,1993-03-21,,,,False,
Right-Back,right,,2023-07-27,Milan van Ewijk,175,587335,"['Netherlands', 'Suriname']",22000000,SC Heerenveen,25,2000-08-09,,,,False,
Right-Back,right,,2025-01-07,Kaine Kesler-Hayden,175,626888,['England'],3000000,Aston Villa,23,2002-10-23,,,,False,
Defensive Midfield,left,,2025-01-31,Matt Grimes,178,265471,['England'],5000000,Swansea City,31,1995-07-15,,,,False,
Central Midfield,right,,2024-11-01,Victor Torp,178,403692,['Denmark'],14000000,Sarpsborg 08 FF,26,1999-07-30,,,,False,
Central Midfield,right,,2020-01-07,Josh Eccles,181,618903,['England'],9000000,Coventry City U21,26,2000-06-04,,,,False,
Central Midfield,right,,2026-01-07,Frank Onyeka,183,421637,['Nigeria'],8000000,Brentford FC,28,1998-01-01,,,,False,
Central Midfield,right,,2025-01-07,Kai Andrews,185,965924,"['Wales', 'England']",500000,Coventry City U21,19,2006-06-08,,,,False,
Left Midfield,right,,2024-01-02,Ephron Mason-Clark,178,466637,"['Jamaica', 'England']",16000000,: Ablöse €4.98m,26,1999-08-25,,,,False,
Attacking Midfield,left,,2024-01-07,Jack Rudoni,185,662476,"['England', 'United States']",20000000,Huddersfield Town,25,2001-06-14,,,,False,
Left Winger,right,,2024-01-07,Raphael Borges Rodrigues,173,704398,"['Australia', 'Brazil']",450000,Macarthur FC,22,2003-11-09,,,,False,
Right Winger,left,,2026-11-07,Loum Tchaouna,180,607226,"['France', 'Chad']",13000000,Burnley FC,22,2003-08-09,,,,False,
Right Winger,left,,2023-10-07,Tatsuhiro Sakamoto,170,617408,['Japan'],4500000,KV Oostende (-2024),29,1996-10-22,,,,False,
Right Winger,left,,2026-01-27,Jahnoah Markelo,181,677382,"['Suriname', 'Netherlands']",3500000,FC Zürich,23,2003-04-01,,,,False,
Centre-Forward,right,,2023-04-08,Haji Wright,191,315291,"['United States', 'Liberia']",16000000,Antalyaspor,28,1998-03-27,,,,False,
Centre-Forward,right,,2024-01-08,Brandon Thomas-Asante,182,451747,"['Ghana', 'England']",16000000,West Bromwich Albion,27,1998-12-29,,,,False,
Centre-Forward,right,,2023-07-07,Ellis Simms,191,511550,"['England', 'Poland']",12000000,Everton FC,25,2001-05-01,,,,False,
