position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1995-01-07,Jamie Speare,185,92585,['England'],,: Ablöse -,20,1976-05-11,Retired,,,False,
Goalkeeper,right,,1981-07-13,Neville Southall,185,135910,['Wales'],,Bury FC,38,1958-09-16,Retired,,,False,
Goalkeeper,left,,1996-01-07,Paul Gerrard,188,3584,['England'],,: Ablöse €1.50m,24,1973-01-22,Retired,,,False,
Centre-Back,right,,1991-01-10,Matt Jackson,185,13519,['England'],,: Ablöse €900k,25,1971-10-19,Retired,,,False,
Centre-Back,,,,Graham Allen,185,224477,['England'],,,20,1977-08-04,Retired,,,False,
Centre-Back,right,,1986-08-22,Dave Watson,183,135911,['England'],,: Ablöse €1.85m,35,1961-11-20,Retired,,,False,
Centre-Back,N/A,,1997-01-16,Claus Thomsen,,676,['Denmark'],,Ipswich Town,27,1970-05-31,Retired,,,False,
Centre-Back,both,,1995-01-07,Craig Short,185,3821,['England'],,: Ablöse €3.60m,29,1968-06-25,Retired,,,False,
Centre-Back,right,,1996-01-07,Richard Dunne,188,3807,['Ireland'],,: Ablöse -,17,1979-09-21,Retired,,,False,
Left-Back,left,,1990-01-07,Andy Hinchcliffe,178,106797,['England'],,: Ablöse €1.20m,28,1969-05-02,Retired,,,False,
Left-Back,left,,1998-01-08,David Unsworth,187,3272,['England'],,: Ablöse €4.60m,23,1973-10-16,Retired,,,False,
Left-Back,left,,1997-01-01,Terry Phelan,173,102495,"['Ireland', 'England']",,: Ablöse €1.30m,30,1967-03-16,Retired,,,False,
Left-Back,left,,1997-01-07,Michael Ball,178,9423,['England'],,: Ablöse -,17,1979-02-10,Retired,,,False,
Left-Back,left,,1995-01-07,John Hills,178,14023,['England'],,Blackpool FC,19,1978-04-21,Retired,,,False,
Right-Back,right,,1995-01-30,Earl Barrett,180,106795,['England'],,: Ablöse €2.60m,30,1967-04-28,Retired,,,False,
Right-Back,right,,1995-01-07,Marc Hottiger,176,15520,['Switzerland'],,Newcastle United,29,1967-07-11,Retired,,,False,
Defensive Midfield,right,,1993-01-07,Tony Grant,177,9976,['England'],,: Ablöse -,22,1974-11-14,Retired,,,False,
Central Midfield,left,,1996-01-07,Gary Speed,180,3459,['Wales'],,: Ablöse €4.87m,27,1969-08-09,---,,,False,
Central Midfield,right,,1994-03-25,Anders Limpar,174,101098,['Sweden'],,: Ablöse €1.90m,31,1965-09-24,Retired,,,False,
Central Midfield,,,1986-01-07,John Ebbrell,170,177250,['England'],,: Ablöse -,27,1969-01-10,Retired,,,False,
Central Midfield,,,1994-01-01,Joe Parkinson,,177273,['England'],,: Ablöse €375k,26,1971-11-06,Retired,,,False,
Right Midfield,right,,1995-08-25,Andrey Kanchelskis,178,3742,"['Russia', 'England']",,: Ablöse €7.50m,28,1969-01-23,Retired,,,False,
Left Midfield,left,,1996-01-10,Nick Barmby,170,3222,['England'],,: Ablöse €8.00m,23,1974-11-02,Retired,,,False,
Right Winger,right,,1993-08-19,Graham Stuart,175,3334,['England'],,: Ablöse €1.30m,26,1970-10-24,Retired,,,False,
Right Winger,right,,1996-01-07,Danny Cadamarteri,175,4220,"['England', 'Jamaica']",,: Ablöse -,17,1979-12-10,Retired,,,False,
Centre-Forward,,,1992-08-14,Paul Rideout,180,177275,['England'],,: Ablöse €583k,32,1964-08-14,Retired,,,False,
Centre-Forward,left,,2000-08-17,Duncan Ferguson,193,3239,['Scotland'],,Newcastle United,25,1971-12-27,Retired,,,False,
Centre-Forward,right,,1995-10-24,Michael Branch,178,10393,['England'],,: Ablöse -,18,1978-10-18,Retired,,,False,
