position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2017-01-07,Jordan Pickford,185,130164,['England'],40000000,Sunderland AFC,25,1994-07-03,Everton FC,,,False,
Goalkeeper,right,,2016-01-07,Maarten Stekelenburg,197,4311,['Netherlands'],1000000,Fulham FC,36,1982-09-22,Retired,,,False,
Goalkeeper,left,,2020-01-07,João Virgínia,192,329813,['Portugal'],500000,Everton FC U23,19,1999-10-10,Sporting CP,,,False,
Centre-Back,right,,2017-03-07,Michael Keane,188,118534,"['England', 'Ireland']",30000000,: Ablöse €28.50m,26,1993-11-01,Everton FC,,,False,
Centre-Back,right,,2018-09-08,Kurt Zouma,190,157509,"['France', 'Central African Republic']",25000000,: Ablöse €7.90m,24,1994-10-27,FC Palm City,,,False,
Centre-Back,right,,2018-09-08,Yerry Mina,195,289446,['Colombia'],25000000,FC Barcelona,24,1994-09-23,Cagliari Calcio,,,False,
Centre-Back,right,,2015-08-13,Mason Holgate,187,348623,"['Jamaica', 'England']",7000000,Barnsley FC,22,1996-10-22,Al-Gharafa SC,,,False,
Centre-Back,right,,2016-10-08,Ashley Williams,183,67355,"['Wales', 'England']",2000000,: Ablöse €14.00m,34,1984-08-23,Retired,,,False,
Centre-Back,right,,2017-07-17,Cuco Martina,185,91251,"['Curacao', 'Netherlands']",1500000,Southampton FC,29,1989-09-25,SV Victory Boys,,,False,
Centre-Back,left,,2014-02-08,Brendan Galloway,186,208244,"['Zimbabwe', 'England']",1500000,: Ablöse ?,23,1996-03-17,Without Club,,,False,
Centre-Back,right,,2007-04-07,Phil Jagielka,180,13520,"['England', 'Poland']",1000000,Sheffield United,36,1982-08-17,Retired,,,False,
Centre-Back,right,,2016-01-01,Matthew Pennington,185,220755,['England'],1000000,Everton FC U21,24,1994-06-10,Bradford City,,,False,
Centre-Back,right,Knee injury - Return unknown,2014-01-07,Tyias Browning,188,156934,"['China', 'England']",850000,Everton FC U21,25,1994-05-27,Shanghai Port,,,False,
Left-Back,left,,2018-01-08,Lucas Digne,178,126664,['France'],30000000,FC Barcelona,25,1993-07-20,Aston Villa,,,False,
Left-Back,left,,2007-07-08,Leighton Baines,170,13507,['England'],3500000,Wigan Athletic,34,1984-11-12,Retired,,,False,
Left-Back,left,,2011-01-07,Luke Garbutt,180,110860,['England'],750000,: Ablöse -,26,1993-05-21,Salford City,,,False,
Right-Back,right,,2009-01-01,Séamus Coleman,177,68390,['Ireland'],15000000,Sligo Rovers,30,1988-11-10,Without Club,,,False,
Right-Back,right,,2017-01-07,Jonjoe Kenny,176,258883,"['England', 'Ireland']",5000000,Everton FC U23,22,1997-03-15,PAOK Thessaloniki,,,False,
Defensive Midfield,right,,2022-01-09,Idrissa Gueye,174,126665,['Senegal'],25000000,: Ablöse €4.00m,29,1989-09-26,Without Club,,,False,
Defensive Midfield,right,,2017-12-01,Morgan Schneiderlin,186,56818,['France'],15000000,Manchester United,29,1989-08-11,Retired,,,False,
Defensive Midfield,right,,2014-07-28,Muhamed Besic,180,93905,"['Bosnia-Herzegovina', 'Germany']",5000000,: Ablöse €4.80m,26,1992-10-09,Without Club,,,False,
Defensive Midfield,right,,2018-01-01,Beni Baningime,178,399369,"['DR Congo', 'England']",2000000,Everton FC U23,20,1998-09-09,Without Club,,,False,
Central Midfield,right,,2019-01-07,André Gomes,190,221025,['Portugal'],28000000,FC Barcelona,25,1993-07-30,Columbus Crew,,,False,
