Season,Team,Player,Position
2000/01,Arsenal,Alberto Méndez,Attacking Midfield
2000/01,Arsenal,Alexander Manninger,Goalkeeper
2000/01,Arsenal,Ashley Cole,Left-Back
2000/01,Arsenal,Christopher Wreh,Centre-Forward
2000/01,Arsenal,David Seaman,Goalkeeper
2000/01,Arsenal,Dennis Bergkamp,Second Striker
2000/01,Arsenal,Edú Gaspar,Central Midfield
2000/01,Arsenal,Freddie Ljungberg,Right Midfield
2000/01,Arsenal,Gilles Grimandi,Defensive Midfield
2000/01,Arsenal,Guy Demel,Right-Back
2000/01,Arsenal,Igors Stepanovs,Centre-Back
2000/01,Arsenal,Jermaine Pennant,Right Winger
2000/01,Arsenal,John Lukic,Goalkeeper
2000/01,Arsenal,Laurén,Right-Back
2000/01,Arsenal,Lee Dixon,Right-Back
2000/01,Arsenal,Martin Keown,Centre-Back
2000/01,Arsenal,Matthew Upson,Centre-Back
2000/01,Arsenal,Moritz Volz,Right-Back
2000/01,Arsenal,Nelson Vivas,Right-Back
2000/01,Arsenal,Nwankwo Kanu,Centre-Forward
2000/01,Arsenal,Oleg Luzhnyi,Right-Back
2000/01,Arsenal,Paolo Vernazza,Central Midfield
2000/01,Arsenal,Patrick Vieira,Defensive Midfield
2000/01,Arsenal,Ray Parlour,Central Midfield
2000/01,Arsenal,Robert Pirès,Left Midfield
2000/01,Arsenal,Sebastian Svärd,Defensive Midfield
2000/01,Arsenal,Stefan Malz,Left-Back
2000/01,Arsenal,Stuart Taylor,Goalkeeper
2000/01,Arsenal,Sylvain Wiltord,Second Striker
2000/01,Arsenal,Sylvinho,Left-Back
2000/01,Arsenal,Thierry Henry,Centre-Forward
2000/01,Arsenal,Tomas Danilevičius,Centre-Forward
2000/01,Arsenal,Tony Adams,Centre-Back
2000/01,Aston Villa,Alan Wright,Left-Back
2000/01,Aston Villa,Alpay Özalan,Centre-Back
2000/01,Aston Villa,Darius Vassell,Centre-Forward
2000/01,Aston Villa,David Ginola,Left Winger
2000/01,Aston Villa,David James,Goalkeeper
2000/01,Aston Villa,Dion Dublin,Centre-Forward
2000/01,Aston Villa,Gareth Barry,Defensive Midfield
2000/01,Aston Villa,Gareth Southgate,Centre-Back
2000/01,Aston Villa,George Boateng,Defensive Midfield
2000/01,Aston Villa,Gilles De Bilde,Centre-Forward
2000/01,Aston Villa,Ian Taylor,Central Midfield
2000/01,Aston Villa,Jlloyd Samuel,Left-Back
2000/01,Aston Villa,John McGrath,Left Midfield
2000/01,Aston Villa,Jonathan Bewers,Right-Back
2000/01,Aston Villa,Juan Pablo Ángel,Centre-Forward
2000/01,Aston Villa,Julian Joachim,Centre-Forward
2000/01,Aston Villa,Lee Hendrie,Central Midfield
2000/01,Aston Villa,Luc Nilis,Centre-Forward
2000/01,Aston Villa,Mark Delaney,Right-Back
2000/01,Aston Villa,Neil Cutler,Goalkeeper
2000/01,Aston Villa,Paul Merson,Attacking Midfield
2000/01,Aston Villa,Peter Enckelman,Goalkeeper
2000/01,Aston Villa,Stefan Moore,Centre-Forward
2000/01,Aston Villa,Stephen Cooke,Right Midfield
2000/01,Aston Villa,Steve Staunton,Left-Back
2000/01,Aston Villa,Steve Stone,Right Midfield
2000/01,Aston Villa,Thomas Hitzlsperger,Central Midfield
2000/01,Aston Villa,Ugo Ehiogu,Centre-Back
2000/01,Bradford,Aidan Davison,Goalkeeper
2000/01,Bradford,Andrew O'Brien,Centre-Back
2000/01,Bradford,Andy Myers,Left-Back
2000/01,Bradford,Ashley Ward,Centre-Forward
2000/01,Bradford,Ashley Westwood,Centre-Back
2000/01,Bradford,Benny Carbone,Second Striker
2000/01,Bradford,Billy McKinlay,Right Midfield
2000/01,Bradford,Dan Petrescu,Right-Back
2000/01,Bradford,David Hopkin,Right Midfield
2000/01,Bradford,David Wetherall,Centre-Back
2000/01,Bradford,Dean Saunders,Centre-Forward
2000/01,Bradford,Dean Windass,Centre-Forward
2000/01,Bradford,Eoin Jess,Second Striker
2000/01,Bradford,Gareth Grant,Striker
2000/01,Bradford,Gareth Whalley,Central Midfield
2000/01,Bradford,Gary Locke,Defensive Midfield
2000/01,Bradford,Gary Walsh,Goalkeeper
2000/01,Bradford,Gunnar Halle,Right-Back
2000/01,Bradford,Ian Nolan,Right-Back
2000/01,Bradford,Isaiah Rankin,Centre-Forward
2000/01,Bradford,Jamie Lawrence,Central Midfield
2000/01,Bradford,Lee Mills,Centre-Forward
2000/01,Bradford,Lee Sharpe,Left Midfield
2000/01,Bradford,Lewis Emanuel,Left-Back
2000/01,Bradford,Mark Bower,Centre-Back
2000/01,Bradford,Matt Clarke,Goalkeeper
2000/01,Bradford,Matt Lawrence,Centre-Back
2000/01,Bradford,Neville Southall,Goalkeeper
2000/01,Bradford,Peter Atherton,Centre-Back
2000/01,Bradford,Peter Beagrie,Left Winger
2000/01,Bradford,Robbie Blake,Second Striker
2000/01,Bradford,Robert Molenaar,Centre-Back
2000/01,Bradford,Scott Kerr,Central Midfield
2000/01,Bradford,Stan Collymore,Centre-Forward
2000/01,Bradford,Stuart McCall,Central Midfield
2000/01,Bradford,Wayne Jacobs,Left-Back
2000/01,Charlton,Andy Hunt,Centre-Forward
2000/01,Charlton,Andy Todd,Centre-Back
2000/01,Charlton,Ben Roberts,Goalkeeper
2000/01,Charlton,Carl Tiler,Centre-Back
2000/01,Charlton,Charlie MacDonald,Centre-Forward
2000/01,Charlton,Chris Powell,Left-Back
2000/01,Charlton,Claus Jensen,Attacking Midfield
2000/01,Charlton,Clive Mendonca,Centre-Forward
2000/01,Charlton,Dean Kiely,Goalkeeper
2000/01,Charlton,Eddie Youds,Centre-Back
2000/01,Charlton,Graham Stuart,Right Winger
2000/01,Charlton,Greg Shields,Right-Back
2000/01,Charlton,John Robinson,Right Winger
2000/01,Charlton,John Salako,Left Midfield
2000/01,Charlton,Jonatan Johansson,Centre-Forward
2000/01,Charlton,Jonathan Fortune,Centre-Back
2000/01,Charlton,Karim Bagheri,Defensive Midfield
2000/01,Charlton,Kemal Izzet,Central Midfield
2000/01,Charlton,Kevin Lisbie,Centre-Forward
2000/01,Charlton,Mark DeBolla,Striker
2000/01,Charlton,Mark Fish,Centre-Back
2000/01,Charlton,Mark Kinsella,Defensive Midfield
2000/01,Charlton,Martin Pringle,Centre-Forward
2000/01,Charlton,Mathias Svensson,Centre-Forward
2000/01,Charlton,Paul Konchesky,Left-Back
2000/01,Charlton,Radostin Kishishev,Defensive Midfield
2000/01,Charlton,Richard Rufus,Centre-Back
2000/01,Charlton,Sasa Ilic,Goalkeeper
2000/01,Charlton,Scott Parker,Central Midfield
2000/01,Charlton,Shaun Bartlett,Centre-Forward
2000/01,Charlton,Shaun Newton,Right Midfield
2000/01,Charlton,Steve Brown,Centre-Back
2000/01,Charlton,Tony Caig,Goalkeeper
2000/01,Chelsea,Albert Ferrer,Right-Back
2000/01,Chelsea,Bernard Lambourde,Centre-Back
2000/01,Chelsea,Carlo Cudicini,Goalkeeper
2000/01,Chelsea,Celestine Babayaro,Left-Back
2000/01,Chelsea,Christian Panucci,Right-Back
2000/01,Chelsea,Danny Slatter,Midfielder
2000/01,Chelsea,Dennis Wise,Defensive Midfield
2000/01,Chelsea,Ed de Goey,Goalkeeper
2000/01,Chelsea,Eidur Gudjohnsen,Centre-Forward
2000/01,Chelsea,Frank Leboeuf,Centre-Back
2000/01,Chelsea,Gabriele Ambrosetti,Left Midfield
2000/01,Chelsea,Gianfranco Zola,Second Striker
2000/01,Chelsea,Graeme Le Saux,Left-Back
2000/01,Chelsea,Gustavo Poyet,Attacking Midfield
2000/01,Chelsea,Jes Høgh,Centre-Back
2000/01,Chelsea,Jesper Grønkjær,Left Winger
2000/01,Chelsea,Jimmy Floyd Hasselbaink,Centre-Forward
2000/01,Chelsea,Jody Morris,Central Midfield
2000/01,Chelsea,John Terry,Centre-Back
2000/01,Chelsea,Jon Harley,Left-Back
2000/01,Chelsea,Kevin Hitchcock,Goalkeeper
2000/01,Chelsea,Marcel Desailly,Centre-Back
2000/01,Chelsea,Mario Melchiot,Right-Back
2000/01,Chelsea,Mario Stanic,Right Winger
2000/01,Chelsea,Mark Bosnich,Goalkeeper
2000/01,Chelsea,Mikael Forssell,Centre-Forward
2000/01,Chelsea,Neil Barrett,Right Midfield
2000/01,Chelsea,Pierluigi Casiraghi,Centre-Forward
2000/01,Chelsea,Pierre Issa,Centre-Back
2000/01,Chelsea,Rati Aleksidze,Centre-Forward
2000/01,Chelsea,Robert Wolleaston,Central Midfield
2000/01,Chelsea,Roberto Di Matteo,Central Midfield
2000/01,Chelsea,Sam Parkin,Centre-Forward
2000/01,Chelsea,Samuele Dalla Bona,Central Midfield
2000/01,Chelsea,Slavisa Jokanovic,Defensive Midfield
2000/01,Chelsea,Tore André Flo,Centre-Forward
2000/01,Chelsea,Winston Bogarde,Centre-Back
2000/01,Chelsea,Émerson Thome,Centre-Back
2000/01,Coventry,Barry Quinn,Right-Back
2000/01,Coventry,Calum Davenport,Centre-Back
2000/01,Coventry,Carlton Palmer,Defensive Midfield
2000/01,Coventry,Chris Kirkland,Goalkeeper
2000/01,Coventry,Colin Hendry,Centre-Back
2000/01,Coventry,Craig Bellamy,Left Winger
2000/01,Coventry,Craig Pead,Right Midfield
2000/01,Coventry,Cédric Roussel,Centre-Forward
2000/01,Coventry,David Thompson,Right Midfield
2000/01,Coventry,Gary Breen,Centre-Back
2000/01,Coventry,Gary McSheffrey,Left Winger
2000/01,Coventry,Gary Montgomery,Goalkeeper
2000/01,Coventry,Gavin Strachan,Defensive Midfield
2000/01,Coventry,Iván Guerrero,Left-Back
2000/01,Coventry,Jairo Martínez,Centre-Forward
2000/01,Coventry,Jay Bothroyd,Centre-Forward
2000/01,Coventry,John Aloisi,Centre-Forward
2000/01,Coventry,John Eustace,Defensive Midfield
2000/01,Coventry,John Hartson,Centre-Forward
2000/01,Coventry,Laurent Delorge,Right Winger
2000/01,Coventry,Lee Carsley,Defensive Midfield
2000/01,Coventry,Lee Fowler,Central Midfield
2000/01,Coventry,Magnus Hedman,Goalkeeper
2000/01,Coventry,Marc Edworthy,Right-Back
2000/01,Coventry,Marcus Hall,Left-Back
2000/01,Coventry,Morten Hyldgaard,Goalkeeper
2000/01,Coventry,Muhamed Konjic,Centre-Back
2000/01,Coventry,Mustapha Hadji,Attacking Midfield
2000/01,Coventry,Paul Telfer,Right-Back
2000/01,Coventry,Paul Williams,Centre-Back
2000/01,Coventry,Richard Shaw,Centre-Back
2000/01,Coventry,Runar Normann,Left-Back
2000/01,Coventry,Steve Froggatt,Left Winger
2000/01,Coventry,Tomas Antonelius,Right-Back
2000/01,Coventry,Youssef Chippo,Central Midfield
2000/01,Coventry,Ysrael Zúñiga,Centre-Forward
2000/01,Derby,Adam Bolder,Midfielder
2000/01,Derby,Adam Murray,Central Midfield
2000/01,Derby,Andy Oakes,Goalkeeper
2000/01,Derby,Bjørn Otto Bragstad,Centre-Back
2000/01,Derby,Branko Strupar,Centre-Forward
2000/01,Derby,Brian O'Neil,Centre-Back
2000/01,Derby,Chris Riggott,Centre-Back
2000/01,Derby,Con Blatsis,Centre-Back
2000/01,Derby,Craig Burley,Attacking Midfield
2000/01,Derby,Danny Higginbotham,Centre-Back
2000/01,Derby,Darryl Powell,Centre-Back
2000/01,Derby,Dean Sturridge,Centre-Forward
2000/01,Derby,Deon Burton,Centre-Forward
2000/01,Derby,Fiachra McArdle,Centre-Back
2000/01,Derby,Gary Twigg,Centre-Forward
2000/01,Derby,Giorgi Kinkladze,Attacking Midfield
2000/01,Derby,Horacio Carbonari,Centre-Back
2000/01,Derby,Ian Evatt,Centre-Back
2000/01,Derby,Jacob Laursen,Centre-Back
2000/01,Derby,Kristoffer Weckström,Right Midfield
2000/01,Derby,Lars Bohinen,Central Midfield
2000/01,Derby,Lee Grant,Goalkeeper
2000/01,Derby,Lee Morris,Centre-Forward
2000/01,Derby,Lewis Hunt,Right-Back
2000/01,Derby,Lilian Martin,Right-Back
2000/01,Derby,Malcolm Christie,Centre-Forward
2000/01,Derby,Mart Poom,Goalkeeper
2000/01,Derby,Marvin Robinson,Centre-Forward
2000/01,Derby,Paul Boertien,Left-Back
2000/01,Derby,Richard Jackson,Right-Back
2000/01,Derby,Rory Delap,Central Midfield
2000/01,Derby,Seth Johnson,Central Midfield
2000/01,Derby,Simo Valakari,Defensive Midfield
2000/01,Derby,Stefan Schnoor,Centre-Back
2000/01,Derby,Stefano Eranio,Right Midfield
2000/01,Derby,Steve Elliott,Centre-Back
2000/01,Derby,Taribo West,Centre-Back
2000/01,Derby,Thórdur Gudjónsson,Right Winger
2000/01,Derby,Youl Mawéné,Centre-Back
2000/01,Everton,Abel Xavier,Right-Back
2000/01,Everton,Alec Cleland,Right-Back
2000/01,Everton,Alessandro Pistone,Left-Back
2000/01,Everton,Alex Nyarko,Central Midfield
2000/01,Everton,Danny Cadamarteri,Right Winger
2000/01,Everton,Dave Watson,Centre-Back
2000/01,Everton,David Carney,Left Midfield
2000/01,Everton,David Unsworth,Left-Back
2000/01,Everton,David Weir,Centre-Back
2000/01,Everton,Duncan Ferguson,Centre-Forward
2000/01,Everton,Francis Jeffers,Centre-Forward
2000/01,Everton,Gary Naysmith,Left-Back
2000/01,Everton,Idan Tal,Defensive Midfield
2000/01,Everton,Joe-Max Moore,Centre-Forward
2000/01,Everton,Kevin Campbell,Centre-Forward
2000/01,Everton,Kevin McLeod,Left Midfield
2000/01,Everton,Leon Osman,Central Midfield
2000/01,Everton,Mark Hughes,Second Striker
2000/01,Everton,Mark Pembridge,Left Midfield
2000/01,Everton,Michael Ball,Left-Back
2000/01,Everton,Niclas Alexandersson,Right Midfield
2000/01,Everton,Paul Gascoigne,Attacking Midfield
2000/01,Everton,Paul Gerrard,Goalkeeper
2000/01,Everton,Peter Clarke,Centre-Back
2000/01,Everton,Peter Degn,Right Midfield
2000/01,Everton,Phil Jevons,Centre-Forward
2000/01,Everton,Richard Dunne,Centre-Back
2000/01,Everton,Richard Gough,Centre-Back
2000/01,Everton,Scot Gemmill,Central Midfield
2000/01,Everton,Stephen Hughes,Central Midfield
2000/01,Everton,Steve Simonsen,Goalkeeper
2000/01,Everton,Steve Watson,Right-Back
2000/01,Everton,Thomas Gravesen,Defensive Midfield
2000/01,Everton,Thomas Myhre,Goalkeeper
2000/01,Everton,Tony Hibbert,Right-Back
2000/01,Ipswich,Alun Armstrong,Centre-Forward
2000/01,Ipswich,Amir Karic,Left-Back
2000/01,Ipswich,Chris Makin,Left-Back
2000/01,Ipswich,David Johnson,Centre-Forward
2000/01,Ipswich,Fabian Wilnis,Right-Back
2000/01,Ipswich,Gary Croft,Left-Back
2000/01,Ipswich,Hermann Hreidarsson,Left-Back
2000/01,Ipswich,James Pullen,Goalkeeper
2000/01,Ipswich,James Scowcroft,Right Winger
2000/01,Ipswich,Jamie Clapham,Left-Back
2000/01,Ipswich,Jean-Manuel Thétis,Centre-Back
2000/01,Ipswich,Jermaine Wright,Central Midfield
2000/01,Ipswich,Jim Magilton,Central Midfield
2000/01,Ipswich,John McGreal,Centre-Back
2000/01,Ipswich,John Scales,Centre-Back
2000/01,Ipswich,Keith Branagan,Goalkeeper
2000/01,Ipswich,Marcus Stewart,Centre-Forward
2000/01,Ipswich,Mark Burchill,Centre-Forward
2000/01,Ipswich,Mark Venus,Centre-Back
2000/01,Ipswich,Martijn Reuser,Attacking Midfield
2000/01,Ipswich,Matt Holland,Central Midfield
2000/01,Ipswich,Mike Salmon,Goalkeeper
2000/01,Ipswich,Nabil Abidallah,Midfielder
2000/01,Ipswich,Richard Logan,Centre-Forward
2000/01,Ipswich,Richard Naylor,Centre-Back
2000/01,Ipswich,Richard Wright,Goalkeeper
2000/01,Ipswich,Sean Friars,Striker
2000/01,Ipswich,Titus Bramble,Centre-Back
2000/01,Ipswich,Tony Mowbray,Centre-Back
2000/01,Ipswich,Wayne Brown,Centre-Back
2000/01,Leeds,Alan Maybury,Right-Back
2000/01,Leeds,Alan Smith,Central Midfield
2000/01,Leeds,Danny Hay,Centre-Back
2000/01,Leeds,Danny Mills,Right-Back
2000/01,Leeds,Darren Huckerby,Centre-Forward
2000/01,Leeds,David Batty,Defensive Midfield
2000/01,Leeds,Dejan Milosevic,Goalkeeper
2000/01,Leeds,Dominic Matteo,Left-Back
2000/01,Leeds,Eirik Bakke,Central Midfield
2000/01,Leeds,Gareth Evans,Left-Back
2000/01,Leeds,Gary Kelly,Right-Back
2000/01,Leeds,Harry Kewell,Left Winger
2000/01,Leeds,Ian Harte,Left-Back
2000/01,Leeds,Jacob Burns,Defensive Midfield
2000/01,Leeds,Jamie McMaster,Central Midfield
2000/01,Leeds,Jason Wilcox,Left Midfield
2000/01,Leeds,Jonathan Woodgate,Centre-Back
2000/01,Leeds,Kevin Aherne-Evans,Central Midfield
2000/01,Leeds,Lee Bowyer,Central Midfield
2000/01,Leeds,Lucas Radebe,Centre-Back
2000/01,Leeds,Mark Viduka,Centre-Forward
2000/01,Leeds,Matt Jones,Central Midfield
2000/01,Leeds,Michael Bridges,Centre-Forward
2000/01,Leeds,Michael Duberry,Centre-Back
2000/01,Leeds,Nigel Martyn,Goalkeeper
2000/01,Leeds,Olivier Dacourt,Defensive Midfield
2000/01,Leeds,Paul Robinson,Goalkeeper
2000/01,Leeds,Rio Ferdinand,Centre-Back
2000/01,Leeds,Robbie Keane,Centre-Forward
2000/01,Leeds,Robert Molenaar,Centre-Back
2000/01,Leeds,Stephen McPhail,Left Midfield
2000/01,Leeds,Tony Hackworth,Attacking Midfield
2000/01,Leeds,Wesley Boyle,Midfielder
2000/01,Leicester,Ade Akinbiyi,Centre-Forward
2000/01,Leicester,Andy Impey,Right-Back
2000/01,Leicester,Arnar Gunnlaugsson,Right Winger
2000/01,Leicester,Billy McKinlay,Right Midfield
2000/01,Leicester,Callum Davidson,Left-Back
2000/01,Leicester,Damien Delaney,Centre-Back
2000/01,Leicester,Danny Thomas,Left-Back
2000/01,Leicester,Darren Eadie,Left Winger
2000/01,Leicester,Dean Sturridge,Centre-Forward
2000/01,Leicester,Frank Sinclair,Centre-Back
2000/01,Leicester,Gary Rowett,Right-Back
2000/01,Leicester,Gerry Taggart,Centre-Back
2000/01,Leicester,Ian Andrews,Goalkeeper
2000/01,Leicester,Jon Ashton,Centre-Back
2000/01,Leicester,Jon Stevenson,Centre-Forward
2000/01,Leicester,Jordan Stewart,Left-Back
2000/01,Leicester,Junior Lewis,Left Midfield
2000/01,Leicester,Kevin Ellison,Left Winger
2000/01,Leicester,Lawrie Dudfield,Centre-Forward
2000/01,Leicester,Lee Marshall,Central Midfield
2000/01,Leicester,Matt Elliott,Centre-Back
2000/01,Leicester,Matt Jones,Central Midfield
2000/01,Leicester,Matt Piper,Right Midfield
2000/01,Leicester,Michael Price,Goalkeeper
2000/01,Leicester,Muzzy Izzet,Right Midfield
2000/01,Leicester,Neil Lennon,Central Midfield
2000/01,Leicester,Phil Gilchrist,Centre-Back
2000/01,Leicester,Richard Cresswell,Centre-Forward
2000/01,Leicester,Robbie Savage,Central Midfield
2000/01,Leicester,Roberto Mancini,Second Striker
2000/01,Leicester,Simon Royce,Goalkeeper
2000/01,Leicester,Stan Collymore,Centre-Forward
2000/01,Leicester,Stefan Oakes,Central Midfield
2000/01,Leicester,Steve Guppy,Left Midfield
2000/01,Leicester,Steve Walsh,Centre-Back
2000/01,Leicester,Stuart Campbell,Defensive Midfield
2000/01,Leicester,Stuart Wilson,Attacking Midfield
2000/01,Leicester,Tim Flowers,Goalkeeper
2000/01,Leicester,Tony Cottee,Centre-Forward
2000/01,Leicester,Trevor Benjamin,Left Winger
2000/01,Liverpool,Bernard Diomède,Left Winger
2000/01,Liverpool,Christian Ziege,Left Midfield
2000/01,Liverpool,Daniel Sjölund,Defensive Midfield
2000/01,Liverpool,Danny Murphy,Central Midfield
2000/01,Liverpool,Dietmar Hamann,Defensive Midfield
2000/01,Liverpool,Djimi Traoré,Centre-Back
2000/01,Liverpool,Emile Heskey,Centre-Forward
2000/01,Liverpool,Erik Meijer,Centre-Forward
2000/01,Liverpool,Frode Kippe,Centre-Back
2000/01,Liverpool,Gary McAllister,Central Midfield
2000/01,Liverpool,Grégory Vignal,Left-Back
2000/01,Liverpool,Igor Biscan,Defensive Midfield
2000/01,Liverpool,Jamie Carragher,Centre-Back
2000/01,Liverpool,Jamie Redknapp,Central Midfield
2000/01,Liverpool,Jari Litmanen,Attacking Midfield
2000/01,Liverpool,Jørgen Nielsen,Goalkeeper
2000/01,Liverpool,Layton Maxwell,Central Midfield
2000/01,Liverpool,Markus Babbel,Centre-Back
2000/01,Liverpool,Michael Owen,Centre-Forward
2000/01,Liverpool,Nick Barmby,Left Midfield
2000/01,Liverpool,Patrik Berger,Attacking Midfield
2000/01,Liverpool,Pegguy Arphexad,Goalkeeper
2000/01,Liverpool,Rigobert Song,Centre-Back
2000/01,Liverpool,Robbie Fowler,Centre-Forward
2000/01,Liverpool,Sami Hyypiä,Centre-Back
2000/01,Liverpool,Sander Westerveld,Goalkeeper
2000/01,Liverpool,Stephen Wright,Right-Back
2000/01,Liverpool,Steve Staunton,Left-Back
2000/01,Liverpool,Steven Gerrard,Central Midfield
2000/01,Liverpool,Stéphane Henchoz,Centre-Back
2000/01,Liverpool,Titi Camara,Centre-Forward
2000/01,Liverpool,Vegard Heggem,Right-Back
2000/01,Liverpool,Vladimir Smicer,Attacking Midfield
2000/01,Man City,Alf-Inge Haaland,Right-Back
2000/01,Man City,Andrey Kanchelskis,Right Midfield
2000/01,Man City,Andy Morrison,Centre-Back
2000/01,Man City,Brian Murphy,Goalkeeper
2000/01,Man City,Carlo Nash,Goalkeeper
2000/01,Man City,Danny Allsopp,Centre-Forward
2000/01,Man City,Danny Granville,Left-Back
2000/01,Man City,Danny Tiatto,Left-Back
2000/01,Man City,Darren Huckerby,Centre-Forward
2000/01,Man City,Dickson Etuhu,Defensive Midfield
2000/01,Man City,Dino Toppmöller,Centre-Forward
2000/01,Man City,Egil Østenstad,Centre-Forward
2000/01,Man City,Gareth Taylor,Centre-Forward
2000/01,Man City,George Weah,Centre-Forward
2000/01,Man City,Gerard Wiekens,Centre-Back
2000/01,Man City,Ian Bishop,Central Midfield
2000/01,Man City,Jeff Whitley,Defensive Midfield
2000/01,Man City,Jim Whitley,Central Midfield
2000/01,Man City,Kevin Horlock,Defensive Midfield
2000/01,Man City,Laurent Charvet,Right-Back
2000/01,Man City,Lee Crooks,Centre-Back
2000/01,Man City,Mark Kennedy,Left Midfield
2000/01,Man City,Nicky Weaver,Goalkeeper
2000/01,Man City,Paul Dickov,Centre-Forward
2000/01,Man City,Paul Ritchie,Centre-Back
2000/01,Man City,Paulo Wanchope,Centre-Forward
2000/01,Man City,Rhys Day,Centre-Back
2000/01,Man City,Richard Dunne,Centre-Back
2000/01,Man City,Richard Edghill,Right-Back
2000/01,Man City,Richard McKinney,Goalkeeper
2000/01,Man City,Shaun Goater,Centre-Forward
2000/01,Man City,Shaun Holmes,Left Midfield
2000/01,Man City,Shaun Wright-Phillips,Right Winger
2000/01,Man City,Spencer Prior,Centre-Back
2000/01,Man City,Steve Howey,Centre-Back
2000/01,Man City,Terry Cooke,Right Winger
2000/01,Man City,Terry Dunfield,Central Midfield
2000/01,Man City,Tommy Wright,Goalkeeper
2000/01,Man City,Tony Grant,Defensive Midfield
2000/01,Man United,Andy Cole,Centre-Forward
2000/01,Man United,Andy Goram,Goalkeeper
2000/01,Man United,Bojan Djordjic,Left Winger
2000/01,Man United,Danny Webber,Centre-Forward
2000/01,Man United,David Beckham,Right Midfield
2000/01,Man United,David Healy,Centre-Forward
2000/01,Man United,David May,Centre-Back
2000/01,Man United,Denis Irwin,Left-Back
2000/01,Man United,Dwight Yorke,Centre-Forward
2000/01,Man United,Fabien Barthez,Goalkeeper
2000/01,Man United,Gary Neville,Right-Back
2000/01,Man United,Henning Berg,Right-Back
2000/01,Man United,Jaap Stam,Centre-Back
2000/01,Man United,Jesper Blomqvist,Left Midfield
2000/01,Man United,John O'Shea,Centre-Back
2000/01,Man United,Jonathan Greening,Central Midfield
2000/01,Man United,Luke Chadwick,Attacking Midfield
2000/01,Man United,Mark Bosnich,Goalkeeper
2000/01,Man United,Mark Lynch,Right-Back
2000/01,Man United,Mark Wilson,Central Midfield
2000/01,Man United,Michael Clegg,Right-Back
2000/01,Man United,Michael Stewart,Central Midfield
2000/01,Man United,Michael Twiss,Right Midfield
2000/01,Man United,Mikaël Silvestre,Left-Back
2000/01,Man United,Nicky Butt,Defensive Midfield
2000/01,Man United,Ole Gunnar Solskjaer,Centre-Forward
2000/01,Man United,Paul Rachubka,Goalkeeper
2000/01,Man United,Paul Scholes,Central Midfield
2000/01,Man United,Paul Tierney,Left-Back
2000/01,Man United,Phil Neville,Right-Back
2000/01,Man United,Quinton Fortune,Left-Back
2000/01,Man United,Raimond van der Gouw,Goalkeeper
2000/01,Man United,Ronnie Wallwork,Central Midfield
2000/01,Man United,Ronny Johnsen,Centre-Back
2000/01,Man United,Roy Keane,Central Midfield
2000/01,Man United,Ryan Giggs,Left Midfield
2000/01,Man United,Teddy Sheringham,Centre-Forward
2000/01,Man United,Wes Brown,Centre-Back
2000/01,Middlesbrough,Alen Bokšić,Centre-Forward
2000/01,Middlesbrough,Andy Campbell,Centre-Forward
2000/01,Middlesbrough,Anthony Ormerod,Right Winger
2000/01,Middlesbrough,Brad Jones,Goalkeeper
2000/01,Middlesbrough,Brian Deane,Centre-Forward
2000/01,Middlesbrough,Carlos Marinelli,Attacking Midfield
2000/01,Middlesbrough,Christian Karembeu,Defensive Midfield
2000/01,Middlesbrough,Colin Cooper,Left-Back
2000/01,Middlesbrough,Curtis Fleming,Right-Back
2000/01,Middlesbrough,Dean Gordon,Left-Back
2000/01,Middlesbrough,Dean Windass,Centre-Forward
2000/01,Middlesbrough,Gary Pallister,Centre-Back
2000/01,Middlesbrough,Gary Walsh,Goalkeeper
2000/01,Middlesbrough,Gianluca Festa,Centre-Back
2000/01,Middlesbrough,Hámilton Ricard,Centre-Forward
2000/01,Middlesbrough,Jason Gavin,Centre-Back
2000/01,Middlesbrough,Joseph-Désiré Job,Centre-Forward
2000/01,Middlesbrough,Keith O'Neill,Left Winger
2000/01,Middlesbrough,Luke Wilkshire,Right-Back
2000/01,Middlesbrough,Mark Crossley,Goalkeeper
2000/01,Middlesbrough,Mark Hudson,Central Midfield
2000/01,Middlesbrough,Mark Schwarzer,Goalkeeper
2000/01,Middlesbrough,Mark Summerbell,Central Midfield
2000/01,Middlesbrough,Marlon Beresford,Goalkeeper
2000/01,Middlesbrough,Noel Whelan,Centre-Forward
2000/01,Middlesbrough,Paul Ince,Central Midfield
2000/01,Middlesbrough,Paul Okon-Engstler,Defensive Midfield
2000/01,Middlesbrough,Phil Stamp,Central Midfield
2000/01,Middlesbrough,Robbie Mustoe,Central Midfield
2000/01,Middlesbrough,Robbie Stockdale,Right-Back
2000/01,Middlesbrough,Sam Russell,Goalkeeper
2000/01,Middlesbrough,Sean Kilgannon,Midfielder
2000/01,Middlesbrough,Steve Vickers,Centre-Back
2000/01,Middlesbrough,Ugo Ehiogu,Centre-Back
2000/01,Newcastle,Aaron Hughes,Centre-Back
2000/01,Newcastle,Alain Goma,Centre-Back
2000/01,Newcastle,Alan Shearer,Centre-Forward
2000/01,Newcastle,Andrew O'Brien,Centre-Back
2000/01,Newcastle,Andy Griffin,Right-Back
2000/01,Newcastle,Brian Kerr,Central Midfield
2000/01,Newcastle,Carl Cort,Centre-Forward
2000/01,Newcastle,Carlos Daniel Cordone,Centre-Forward
2000/01,Newcastle,Christian Bassedas,Attacking Midfield
2000/01,Newcastle,Clarence Acuña,Defensive Midfield
