position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,2001-10-26,Kevin Poole,178,16832,['England'],,: Ablöse free transfer,40,1963-07-21,Retired,,,False,
Goalkeeper,right,,1997-01-11,Jussi Jääskeläinen,191,3692,['Finland'],,: Ablöse €150k,29,1975-04-19,Retired,,,False,
Goalkeeper,,,,Jeremy Bon,,128954,['France'],,,19,1984-10-21,Unknown,,,False,
Goalkeeper,,,2004-01-01,Donovan Ricketts,193,15544,['Jamaica'],,Village United,27,1977-07-06,Retired,,,False,
Centre-Back,right,,2001-08-31,Bruno N'Gotty,185,3964,"['France', 'Cameroon']",,: Ablöse €750k,33,1971-10-06,Retired,,,False,
Centre-Back,right,,2003-01-07,Florent Laville,185,3888,['France'],,: Ablöse €750k,30,1973-07-08,Retired,,,False,
Centre-Back,right,,2002-01-07,Danny Livesey,188,10054,['England'],,Bolton Wanderers U18,19,1984-12-31,Retired,,,False,
Centre-Back,both,,2003-08-29,Émerson Thome,188,3643,"['Brazil', 'Portugal']",,Sunderland AFC,32,1972-03-30,Retired,,,False,
Centre-Back,right,,2003-01-07,Charlie Comyn-Platt,188,25382,['England'],,Bolton Wanderers U18,18,1985-02-10,Retired,,,False,
Centre-Back,right,,2004-01-01,Steve Howey,186,3138,['England'],,: Ablöse free transfer,32,1971-10-26,Retired,,,False,
Left-Back,,,2000-06-07,Anthony Barness,178,3288,['England'],,Charlton Athletic,31,1973-02-25,Retired,,,False,
Left-Back,right,,2000-07-19,Simon Charlton,173,19846,['England'],,: Ablöse free transfer,32,1971-10-25,Retired,,,False,
Left-Back,left,,1998-01-07,Ricardo Gardner,175,6264,['Jamaica'],,: Ablöse €1.50m,25,1978-09-25,Retired,,,False,
Left-Back,left,,,Jason Talbot,173,25380,['England'],,,18,1985-09-30,Retired,,,False,
Right-Back,right,,2003-01-08,Nicky Hunt,191,16835,['England'],,Bolton Wanderers U21,20,1983-03-09,Retired,,,False,
Right-Back,right,,2004-02-02,Jon Otsemobor,178,3599,['England'],,: Ablöse ?,21,1983-03-23,Retired,,,False,
Defensive Midfield,right,,2003-01-07,Iván Campo,185,3274,['Spain'],,Real Madrid,30,1974-02-21,Retired,,,False,
Right Midfield,right,,2000-01-07,Per Frandsen,178,3735,['Denmark'],,Blackburn Rovers,34,1970-06-02,Retired,,,False,
Right Midfield,right,,2003-11-09,Ibrahim Bá,181,5815,"['France', 'Senegal']",,AC Milan,30,1973-12-11,Retired,,,False,
Right Midfield,right,,2000-01-08,Cleveland Taylor,174,49544,"['Jamaica', 'England']",,Bolton Wanderers U18,20,1983-09-09,Retired,,,False,
Right Midfield,right,,2003-01-07,Ricky Shakes,178,28939,"['Guyana', 'England']",,Bolton Wanderers U18,19,1985-01-25,Retired,,,False,
Attacking Midfield,right,,1999-01-07,Kevin Nolan,183,3950,['England'],,Bolton Wanderers U18,22,1982-06-24,Retired,,,False,
Attacking Midfield,N/A,,2002-02-13,Youri Djorkaeff,,4,"['France', 'Armenia']",,: Ablöse €500k,36,1968-09-03,Retired,,,False,
Attacking Midfield,N/A,,2002-01-07,Jay-Jay Okocha,,3708,"['Nigeria', 'Türkiye']",,: Ablöse free transfer,30,1973-08-14,Retired,,,False,
Attacking Midfield,left,,2001-01-07,Jeff Smith,180,3946,['England'],,Bishop Auckland FC,24,1980-06-28,Retired,,,False,
Right Winger,right,,2003-01-07,Stelios Giannakopoulos,172,4254,['Greece'],,: Ablöse free transfer,29,1974-12-07,Retired,,,False,
Right Winger,right,,2003-01-09,Glen Little,191,9879,['England'],,: Ablöse free transfer,28,1975-10-15,Retired,,,False,
Right Winger,right,,2004-01-07,Ricardo Vaz Tê,188,9413,"['Portugal', 'Guinea-Bissau']",,Bolton Wanderers U18,17,1986-01-10,Retired,,,False,
Centre-Forward,right,,2001-01-07,Henrik Pedersen,185,3947,['Denmark'],,Silkeborg IF,29,1975-10-06,Retired,,,False,
Centre-Forward,right,,2003-01-07,Jardel,188,3625,"['Brazil', 'Portugal']",,: Ablöse free transfer,30,1973-09-18,Retired,,,False,
Centre-Forward,right,,2003-07-23,Kevin Davies,183,4114,['England'],,Southampton FC,27,1977-03-26,Retired,,,False,
Centre-Forward,right,,2002-01-07,Delroy Facey,183,3948,"['Grenada', 'England']",,: Ablöse free transfer,24,1980-04-22,Retired,,,False,
Centre-Forward,left,,2004-01-01,Javi Moreno,180,7768,['Spain'],,: Ablöse free transfer,29,1974-10-09,Retired,,,False,
Centre-Forward,right,,2004-01-01,Dwight Pezzarossi,187,51576,"['Guatemala', 'Italy']",,CSD Comunicaciones,25,1979-04-01,Retired,,,False,
