position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1985-09-07,Stephen Pears,184,222095,['England'],,: Ablöse €94k,31,1962-01-22,Retired,,,False,
Goalkeeper,,,1991-08-15,Ian Ironside,,226774,['England'],,Scarborough FC (- 2007),29,1964-08-03,Retired,,,False,
Goalkeeper,,,,Brian Horne,178,227024,['England'],,,25,1967-05-10,Retired,,,False,
Goalkeeper,,,1992-06-03,Andy Collett,,227355,['England'],,Unknown,19,1973-10-28,Retired,,,False,
Centre-Back,right,,1992-06-08,Derek Whyte,183,11375,['Scotland'],,: Ablöse €1.25m,24,1968-08-31,Retired,,,False,
Centre-Back,right,,1985-01-07,Alan Kernaghan,187,14619,"['Ireland', 'England']",,Middlesbrough FC U18,26,1967-04-25,Retired,,,False,
Centre-Back,,,1992-07-27,Jon Gittens,183,226772,['England'],,Southampton FC,29,1964-01-22,---,,,False,
Centre-Back,,,1987-01-07,Nicky Mohan,188,228025,['England'],,FC Middlesbrough Youth,22,1970-06-10,Retired,,,False,
Left-Back,left,,1990-01-03,Jimmy Phillips,183,195178,['England'],,: Ablöse €286k,27,1966-08-02,Retired,,,False,
Right-Back,,,1991-08-16,Curtis Fleming,178,11353,"['Ireland', 'England']",,St. Patrick's Athletic,24,1968-08-10,Retired,,,False,
Right-Back,right,,1992-08-14,Chris Morris,180,104108,"['Ireland', 'England']",,: Ablöse ?,29,1963-12-24,Retired,,,False,
Right-Back,right,,1986-01-17,Gary Parkinson,180,163589,['England'],,: Ablöse free transfer,25,1968-10-01,Retired,,,False,
Midfielder,,,1991-01-11,Andy Peake,178,226783,['England'],,Charlton Athletic,31,1961-01-11,Retired,,,False,
Midfielder,,,1989-03-23,Mark Proctor,,227373,['England'],,: Ablöse €374k,32,1961-01-30,Retired,,,False,
Central Midfield,right,,1991-01-07,Graham Kavanagh,178,12712,['Ireland'],,Home Farm,19,1973-02-12,Retired,,,False,
Central Midfield,right,,1990-01-07,Robbie Mustoe,183,13419,['England'],,: Ablöse €440k,24,1968-08-28,Retired,,,False,
Central Midfield,right,,1991-01-08,Willie Falconer,185,220507,['Scotland'],,: Ablöse free transfer,27,1966-05-04,Retired,,,False,
Central Midfield,right,,1991-12-18,Jamie Pollock,178,222230,['England'],,Middlesbrough FC U18,19,1974-02-16,Retired,,,False,
Central Midfield,,,1993-02-19,Chris Kamara,185,232934,['England'],,: Ablöse free transfer,35,1957-12-25,Retired,,,False,
Left Midfield,,,1991-01-07,Alan Moore,175,10007,['Ireland'],,Middlesbrough FC U18,18,1974-11-25,Retired,,,False,
Left Winger,left,,1992-01-07,Tommy Wright,,226251,['Scotland'],,: Ablöse €910k,27,1966-10-01,Retired,,,False,
Right Winger,right,,1992-11-27,Craig Hignett,179,3787,['England'],,Crewe Alexandra,23,1970-12-01,Retired,,,False,
Right Winger,,,1990-05-07,John Hendrie,173,195175,['Scotland'],,: Ablöse €631k,29,1963-10-24,Retired,,,False,
Centre-Forward,,,1985-01-07,Bernie Slaven,180,104112,"['Ireland', 'Scotland']",,Albion Rovers FC,32,1960-11-13,Retired,,,False,
Centre-Forward,,,1991-08-16,Paul Wilkinson,185,177255,['England'],,: Ablöse €697k,28,1964-10-30,Retired,,,False,
Centre-Forward,,,1993-03-25,Dwight Marshall,170,240276,"['England', 'Jamaica']",,Plymouth Argyle,27,1965-03-10,Retired,,,False,
