position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2017-01-07,Jordan Pickford,185,130164,['England'],22000000,Sunderland AFC,27,1994-07-03,Everton FC,,,False,
Goalkeeper,right,,2020-05-10,Robin Olsen,196,75458,"['Sweden', 'Denmark']",3000000,AS Roma,31,1990-08-01,Malmö FF,,,False,
Goalkeeper,right,,2019-01-07,Jonas Lössl,195,48870,['Denmark'],1500000,Huddersfield Town,32,1989-01-02,Retired,,,False,
Goalkeeper,left,,2020-01-07,João Virgínia,192,329813,['Portugal'],1000000,Everton FC U23,21,1999-10-10,Sporting CP,,,False,
Goalkeeper,right,,2024-01-07,Harry Tyrer,194,574448,['England'],,Everton FC U21,19,2001-06-12,Cardiff City,,,False,
Goalkeeper,right,,,Zan-Luk Leban,188,605757,['Slovenia'],,,18,2002-12-15,NK Celje,,,False,
Centre-Back,right,,2017-03-07,Michael Keane,188,118534,"['England', 'Ireland']",25000000,: Ablöse €28.50m,28,1993-11-01,Everton FC,,,False,
Centre-Back,right,,2020-05-10,Ben Godfrey,184,343475,"['England', 'Jamaica']",25000000,: Ablöse €27.50m,23,1998-01-15,Rangers FC,,,False,
Centre-Back,right,,2015-08-13,Mason Holgate,187,348623,"['Jamaica', 'England']",20000000,Barnsley FC,24,1996-10-22,Al-Gharafa SC,,,False,
Centre-Back,right,,2018-09-08,Yerry Mina,195,289446,['Colombia'],20000000,FC Barcelona,26,1994-09-23,Cagliari Calcio,,,False,
Centre-Back,right,,2019-02-08,Jean-Philippe Gbamin,186,182894,"[""Cote d'Ivoire"", 'France']",15000000,1.FSV Mainz 05,25,1995-09-25,CSKA Sofia,,,False,
Centre-Back,left,,2020-01-13,Jarrad Branthwaite,195,661053,['England'],3000000,Carlisle United,19,2002-06-27,Everton FC,,,False,
Centre-Back,right,,2016-01-01,Matthew Pennington,185,220755,['England'],600000,Everton FC U21,26,1994-06-10,Bradford City,,,False,
Centre-Back,right,,,Ryan Astley,184,511552,['Wales'],,,19,2001-04-10,Dundee FC,,,False,
Centre-Back,,,,Reece Welch,,655986,"['England', 'Jamaica']",,,17,2003-09-19,Without Club,,,False,
