position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2024-01-02,Matz Sels,188,127202,['Belgium'],7000000,RC Strasbourg Alsace,33,1992-02-26,Nottingham Forest,,,False,
Goalkeeper,left,,2024-09-07,Carlos Miguel,204,641458,['Brazil'],4000000,Sport Club Corinthians Paulista,26,1998-09-10,Sociedade Esportiva Palmeiras,,,False,
Goalkeeper,right,,2025-01-13,Wayne Hennessey,198,45494,['Wales'],150000,Without Club,38,1987-01-24,Retired,,,False,
Centre-Back,left,,2023-08-31,Murillo,180,1005649,['Brazil'],55000000,Sport Club Corinthians Paulista,22,2002-04-07,Nottingham Forest,,,False,
Centre-Back,right,,2024-07-18,Nikola Milenković,195,413507,['Serbia'],35000000,ACF Fiorentina,27,1997-12-10,Nottingham Forest,,,False,
Centre-Back,left,,2024-08-30,Morato,192,673492,['Brazil'],14000000,SL Benfica,24,2001-06-30,Nottingham Forest,,,False,
Centre-Back,right,Knee injury - Return unknown,2022-01-09,Willy Boly,195,142310,"[""Cote d'Ivoire"", 'France']",1500000,Wolverhampton Wanderers,34,1991-03-02,Without Club,,,False,
Centre-Back,right,,2025-02-02,Tyler Bindon,190,1007720,"['New Zealand', 'United States']",1200000,Reading FC,20,2005-01-27,Nottingham Forest,,,False,
Centre-Back,right,,2025-01-07,Zach Abbott,180,933017,['England'],300000,Nottingham Forest U21,19,2006-05-13,Nottingham Forest,,,False,
Left-Back,right,,2022-10-07,Neco Williams,183,503680,['Wales'],20000000,: Ablöse €20.00m,24,2001-04-13,Nottingham Forest,,,False,
Left-Back,left,,2024-08-21,Álex Moreno,179,193098,['Spain'],7000000,Aston Villa,32,1993-08-06,Girona FC,,,False,
Left-Back,left,Muscle injury - Return unknown,2022-07-20,Harry Toffolo,183,198516,"['England', 'Italy']",3000000,Huddersfield Town,29,1995-08-19,Charlotte FC,,,False,
Right-Back,right,,2023-07-22,Ola Aina,184,236490,"['Nigeria', 'England']",22000000,Torino FC,28,1996-08-10,Nottingham Forest,,,False,
Right-Back,right,,2024-01-07,Eric da Silva Moreira,185,897481,"['Germany', 'Portugal']",1000000,FC St. Pauli,19,2006-03-05,Nottingham Forest,,,False,
Defensive Midfield,right,,2023-01-09,Ibrahim Sangaré,191,375885,"[""Cote d'Ivoire""]",24000000,PSV Eindhoven,27,1997-02-12,Nottingham Forest,,,False,
Central Midfield,right,,2024-01-07,Elliot Anderson,179,567576,"['England', 'Scotland']",32000000,Newcastle United,22,2002-06-11,Manchester City,,,False,
Central Midfield,left,,2023-01-16,Danilo,177,808509,['Brazil'],28000000,Sociedade Esportiva Palmeiras,24,2001-04-29,Botafogo de Futebol e Regatas,,,False,
Central Midfield,right,,2023-01-09,Nicolás Domínguez,179,497291,"['Argentina', 'Italy']",18000000,Bologna FC 1909,27,1998-06-28,Nottingham Forest,,,False,
Central Midfield,right,Team captain,2016-01-07,Ryan Yates,190,425902,['England'],12000000,Nottingham Forest U18,27,1997-11-21,Nottingham Forest,,,False,
Central Midfield,left,,2022-07-20,Lewis O'Brien,173,560694,['England'],4000000,Huddersfield Town,26,1998-10-14,Wrexham AFC,,,False,
Attacking Midfield,right,,2022-08-19,Morgan Gibbs-White,171,429014,"['England', 'Jamaica']",50000000,Wolverhampton Wanderers,25,2000-01-27,Nottingham Forest,,,False,
Left Winger,right,,2023-01-09,Callum Hudson-Odoi,178,392768,"['England', 'Ghana']",25000000,: Ablöse €3.50m,24,2000-07-11,Nottingham Forest,,,False,
Left Winger,right,,2024-01-08,Jota Silva,179,663244,['Portugal'],15000000,Vitória Guimarães SC,25,1999-01-08,Olympiacos Piraeus,,,False,
Right Winger,right,,2023-07-25,Anthony Elanga,178,583189,"['Sweden', 'Cameroon']",42000000,Manchester United,23,2002-04-27,Newcastle United,,,False,
Right Winger,left,,2022-01-09,Josh Bowler,184,506470,['England'],1000000,Blackpool FC,26,1999-05-03,Blackpool FC,,,False,
Second Striker,right,Yellow card suspension – Campeonato Brasileiro Série A – until 28/07/2026,2024-08-16,Ramón Sosa,178,745191,"['Paraguay', 'Argentina']",12000000,CA Talleres,25,1999-08-31,Sociedade Esportiva Palmeiras,,,False,
Centre-Forward,right,,2022-01-07,Taiwo Awoniyi,183,295313,['Nigeria'],16000000,1.FC Union Berlin,27,1997-12-08,Nottingham Forest,,,False,
Centre-Forward,right,,2023-01-07,Chris Wood,191,108725,['New Zealand'],10000000,Newcastle United,33,1991-07-12,Nottingham Forest,,,False,
Centre-Forward,right,,2022-08-13,Emmanuel Dennis,175,448854,['Nigeria'],2500000,Watford FC,27,1997-11-15,Bröndby IF,,,False,
