position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2013-01-07,Adrián San Miguel,190,71271,['Spain'],2000000,Real Betis Balompié,27,1987-03-01,Retired,,,False,
Goalkeeper,right,,2012-01-07,Jussi Jääskeläinen,191,3692,['Finland'],1000000,: Ablöse free transfer,39,1975-04-19,Retired,,,False,
Goalkeeper,right,,2012-01-07,Stephen Henderson,188,52191,['Ireland'],1000000,: Ablöse €745k,26,1988-02-05,Retired,,,False,
Goalkeeper,right,,2012-07-23,Raphael Spiegel,197,111428,['Switzerland'],500000,: Ablöse €400k,21,1992-12-19,Oakland Roots SC,,,False,
Centre-Back,right,,2010-05-08,Winston Reid,191,37526,"['New Zealand', 'Denmark']",6000000,: Ablöse €4.20m,25,1988-03-07,Retired,,,False,
Centre-Back,right,,2007-01-07,James Tomkins,192,61592,['England'],5000000,: Ablöse -,25,1989-03-29,Retired,,,False,
Centre-Back,right,,2012-01-08,James Collins,188,12691,['Wales'],3000000,: Ablöse €3.20m,30,1983-08-23,Retired,,,False,
Centre-Back,right,,2014-06-01,Roger Johnson,191,42751,['England'],1500000,Wolverhampton Wanderers,31,1983-04-28,Retired,,,False,
Centre-Back,right,,,Leo Chambers,186,183281,"['England', 'Jamaica']",250000,,18,1995-05-08,Retired,,,False,
Centre-Back,left,,2011-12-16,Dan Potts,183,207037,['England'],250000,: Ablöse -,20,1994-04-13,Without Club,,,False,
Centre-Back,right,,2014-01-10,Reece Burke,189,264220,['England'],,: Ablöse -,17,1996-02-09,Charlton Athletic,,,False,
Left-Back,left,,2013-01-07,Răzvan Raț,179,14940,['Romania'],1500000,Shakhtar Donetsk,33,1981-05-26,Retired,,,False,
Left-Back,left,,2012-01-07,George McCartney,183,3775,['Northern Ireland'],1000000,Sunderland AFC,33,1981-04-29,Retired,,,False,
Right-Back,right,,2011-07-30,Joey O'Brien,180,34672,['Ireland'],3000000,: Ablöse free transfer,28,1986-02-17,Retired,,,False,
Right-Back,right,,2011-08-31,Guy Demel,188,1368,"[""Cote d'Ivoire"", 'France']",1500000,: Ablöse free transfer,33,1981-06-13,Retired,,,False,
Right-Back,right,,2008-01-07,Jordan Spence,189,61588,['England'],250000,: Ablöse -,24,1990-05-24,Retired,,,False,
Right-Back,right,,,Callum Driver,173,121232,['England'],,,21,1992-10-23,Retired,,,False,
Defensive Midfield,right,,2012-11-08,Alou Diarra,189,1327,"['France', 'Mali']",1000000,: Ablöse €2.50m,32,1981-07-15,Retired,,,False,
Defensive Midfield,right,,,Pelly Ruddock Mpanzu,175,244338,"['DR Congo', 'England']",,,20,1994-03-22,Cambridge United,,,False,
Central Midfield,right,,2005-01-01,Mark Noble,180,31835,"['England', 'Ireland']",7000000,: Ablöse -,27,1987-08-05,Retired,,,False,
Central Midfield,right,,2012-01-07,Mohamed Diamé,184,70950,"['Senegal', 'France']",7000000,Wigan Athletic,27,1987-06-14,Retired,,,False,
Central Midfield,right,,2014-01-25,Antonio Nocerino,175,22203,['Italy'],4500000,AC Milan,29,1985-09-04,Retired,,,False,
Central Midfield,right,,2007-01-07,Jack Collison,183,61568,"['Wales', 'England']",2000000,: Ablöse -,25,1988-02-10,Retired,,,False,
Central Midfield,right,,2014-01-30,Abdul Razak,179,177321,"[""Cote d'Ivoire""]",700000,Anzhi Makhachkala,21,1992-11-11,Without Club,,,False,
Central Midfield,right,,2013-01-07,Danny Whitehead,179,181168,['England'],,: Ablöse ?,20,1993-10-23,Curzon Ashton,,,False,
Central Midfield,right,,,George Moncur,175,121238,['England'],,,20,1993-08-18,Bedford Town,,,False,
Central Midfield,right,,,Sebastian Lletget,178,175996,"['United States', 'Argentina']",,,21,1992-03-09,Monterey Bay FC,,,False,
Left Midfield,left,,2014-01-31,Pablo Armero,174,73786,['Colombia'],7000000,: Ablöse ?,27,1986-02-11,Retired,,,False,
Left Midfield,left,,2013-08-13,Stewart Downing,180,4063,['England'],5000000,: Ablöse €5.80m,29,1984-07-22,Retired,,,False,
Left Midfield,left,,2011-07-23,Matthew Taylor,177,9218,['England'],1500000,: Ablöse €2.50m,32,1981-11-27,Retired,,,False,
Attacking Midfield,right,,2011-01-07,Kevin Nolan,183,3950,['England'],5000000,Newcastle United,32,1982-06-24,Retired,,,False,
Attacking Midfield,right,,2012-01-31,Ravel Morrison,175,128907,"['Jamaica', 'England']",4000000,Manchester United U18,21,1993-02-02,Arabian Falcons FC,,,False,
Attacking Midfield,right,,2013-04-01,Joe Cole,176,3876,['England'],2500000,: Ablöse free transfer,32,1981-08-11,Retired,,,False,
Attacking Midfield,right,,,Elliot Lee,180,229826,['England'],,,19,1994-12-16,Wrexham AFC,,,False,
Left Winger,,,2012-08-24,Matt Jarvis,173,15921,['England'],5500000,Wolverhampton Wanderers,28,1986-05-22,Retired,,,False,
Right Winger,right,,2012-01-31,Ricardo Vaz Tê,188,9413,"['Portugal', 'Guinea-Bissau']",2500000,Barnsley FC,27,1986-01-10,Retired,,,False,
Right Winger,right,,,Blair Turgott,183,134426,"['Jamaica', 'England']",300000,,20,1994-05-22,Chania City FC,,,False,
Right Winger,left,,,Matthias Fanimo,175,134416,"['England', 'Nigeria']",,,20,1994-01-28,Cheshunt FC,,,False,
Centre-Forward,left,,2013-01-07,Andy Carroll,194,48066,['England'],16000000,: Ablöse €17.50m,25,1989-06-01,Dagenham & Redbridge FC,,,False,
Centre-Forward,left,,2014-01-24,Marco Borriello,186,5825,['Italy'],4500000,: Ablöse €700k,32,1982-06-18,Retired,,,False,
Centre-Forward,left,,2012-07-18,Modibo Maïga,185,46831,['Mali'],2500000,: Ablöse €6.00m,26,1987-03-09,Retired,,,False,
Centre-Forward,N/A,,2013-10-09,Mladen Petric,,2874,"['Croatia', 'Switzerland']",2000000,Without Club,33,1981-01-01,Retired,,,False,
Centre-Forward,right,,2013-10-14,Carlton Cole,191,3179,"['England', 'Sierra Leone']",1500000,Without Club,30,1983-12-10,Retired,,,False,
