position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,right,,2013-09-07,Joel Robles,194,101118,['Spain'],5000000,: Ablöse €4.00m,27,1990-06-17,GD Estoril Praia,,,False,
Goalkeeper,right,,2016-01-07,Maarten Stekelenburg,197,4311,['Netherlands'],2000000,Fulham FC,34,1982-09-22,Retired,,,False,
Goalkeeper,right,,2016-01-07,Mateusz Hewelt,191,318547,"['Poland', 'Ireland']",,Everton FC U23,20,1996-09-23,Warrington Town,,,False,
Centre-Back,left,,2015-01-09,Ramiro Funes Mori,187,11111,"['Argentina', 'United States']",12000000,: Ablöse €12.20m,26,1991-05-03,Club Estudiantes de La Plata,,,False,
Centre-Back,right,,2016-10-08,Ashley Williams,183,67355,"['Wales', 'England']",8000000,: Ablöse €14.00m,32,1984-08-23,Retired,,,False,
Centre-Back,right,,2015-08-13,Mason Holgate,187,348623,"['Jamaica', 'England']",5000000,Barnsley FC,20,1996-10-22,Al-Gharafa SC,,,False,
Centre-Back,left,,2014-02-08,Brendan Galloway,186,208244,"['Zimbabwe', 'England']",3000000,: Ablöse ?,21,1996-03-17,Without Club,,,False,
Centre-Back,right,,2007-04-07,Phil Jagielka,180,13520,"['England', 'Poland']",2000000,Sheffield United,34,1982-08-17,Retired,,,False,
Centre-Back,right,Knee injury - Return unknown,2014-01-07,Tyias Browning,188,156934,"['China', 'England']",1000000,Everton FC U21,23,1994-05-27,Shanghai Port,,,False,
Centre-Back,right,,2016-01-01,Matthew Pennington,185,220755,['England'],500000,Everton FC U21,22,1994-06-10,Bradford City,,,False,
Left-Back,left,,2007-07-08,Leighton Baines,170,13507,['England'],12000000,Wigan Athletic,32,1984-11-12,Retired,,,False,
Left-Back,left,,2012-08-31,Bryan Oviedo,172,124983,['Costa Rica'],2500000,: Ablöse €4.50m,27,1990-02-18,Without Club,,,False,
Left-Back,left,,2011-01-07,Luke Garbutt,180,110860,['England'],1000000,: Ablöse -,24,1993-05-21,Salford City,,,False,
Right-Back,right,,2009-01-01,Séamus Coleman,177,68390,['Ireland'],17000000,Sligo Rovers,28,1988-11-10,Without Club,,,False,
Right-Back,right,,2017-01-07,Jonjoe Kenny,176,258883,"['England', 'Ireland']",250000,Everton FC U23,20,1997-03-15,PAOK Thessaloniki,,,False,
Defensive Midfield,right,,2017-12-01,Morgan Schneiderlin,186,56818,['France'],22000000,Manchester United,27,1989-08-11,Retired,,,False,
Defensive Midfield,right,,2022-01-09,Idrissa Gueye,174,126665,['Senegal'],18000000,: Ablöse €4.00m,27,1989-09-26,Without Club,,,False,
Defensive Midfield,right,,2014-07-28,Muhamed Besic,180,93905,"['Bosnia-Herzegovina', 'Germany']",5000000,: Ablöse €4.80m,24,1992-10-09,Without Club,,,False,
Defensive Midfield,left,,2014-08-07,Gareth Barry,184,3291,['England'],1500000,: Ablöse free transfer,36,1981-02-23,Retired,,,False,
Central Midfield,right,,2011-01-07,Ross Barkley,189,131978,['England'],25000000,: Ablöse -,23,1993-05-12,Aston Villa,,,False,
Central Midfield,right,,2013-02-09,James McCarthy,180,45333,"['Ireland', 'Scotland']",15000000,Wigan Athletic,26,1990-12-11,Without Club,,,False,
Central Midfield,right,,2015-01-07,Tom Cleverley,175,73484,['England'],8000000,Manchester United,27,1989-12-08,Retired,,,False,
Central Midfield,right,,2017-01-01,Tom Davies,180,314210,['England'],8000000,Everton FC U23,19,1998-06-30,Without Club,,,False,
Central Midfield,right,,2012-01-13,Darron Gibson,183,42413,"['Ireland', 'Northern Ireland']",1500000,Manchester United,29,1987-10-25,Retired,,,False,
Central Midfield,right,,,Joe Williams,185,268185,['England'],,,20,1996-08-12,Bristol City,,,False,
Left Winger,right,,2017-05-01,Ademola Lookman,174,406040,"['Nigeria', 'England']",5000000,Charlton Athletic,19,1997-10-20,Atlético de Madrid,,,False,
Left Winger,both,,2014-11-01,Aiden McGeady,180,21333,"['Ireland', 'Scotland']",3500000,: Ablöse €2.00m,31,1986-04-04,Retired,,,False,
Right Winger,right,,2012-08-19,Kevin Mirallas,182,33639,"['Belgium', 'Spain']",13000000,: Ablöse €7.65m,29,1987-05-10,Retired,,,False,
Right Winger,right,,2015-01-09,Aaron Lennon,165,14221,"['England', 'Ireland']",5000000,: Ablöse €6.00m,30,1987-04-16,Retired,,,False,
Second Striker,N/A,,2016-07-01,Shani Tarashaj,,184381,"['Switzerland', 'Kosovo']",2000000,: Ablöse €4.00m,22,1995-07-02,Retired,,,False,
Centre-Forward,left,,2014-07-30,Romelu Lukaku,190,96341,"['Belgium', 'DR Congo']",50000000,: Ablöse €35.36m,24,1993-05-13,SSC Napoli,,,False,
Centre-Forward,right,,2016-08-15,Yannick Bolasie,185,75471,"['DR Congo', 'England']",20000000,Crystal Palace,28,1989-05-24,Associação Chapecoense de Futebol,,,False,
Centre-Forward,right,Knee surgery - Return unknown,2015-01-07,Gerard Deulofeu,177,129476,['Spain'],12000000,FC Barcelona,23,1994-03-13,Without Club,,,False,
Centre-Forward,right,,2016-08-31,Enner Valencia,177,139503,['Ecuador'],10000000,West Ham United,27,1989-04-11,Without Club,,,False,
Centre-Forward,right,,2016-01-02,Oumar Niasse,182,209781,['Senegal'],9000000,: Ablöse €17.90m,27,1990-04-18,Retired,,,False,
Centre-Forward,right,,2016-08-31,Dominic Calvert-Lewin,189,306024,['England'],3500000,Sheffield United,20,1997-03-16,Leeds United,,,False,
Centre-Forward,N/A,,2013-08-07,Arouna Koné,,8552,"[""Cote d'Ivoire""]",1500000,Wigan Athletic,33,1983-11-11,Retired,,,False,
Centre-Forward,right,,2015-08-28,Leandro Rodríguez,179,238988,"['Uruguay', 'Italy']",1000000,CA River Plate Montevideo,24,1992-11-19,Salus FC,,,False,
Centre-Forward,right,,2011-01-07,Conor McAleny,178,121260,['England'],500000,: Ablöse -,24,1992-12-08,Marine FC,,,False,
