position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,left,,2013-01-07,Jordan Pickford,185,130164,['England'],15000000,Sunderland AFC U21,23,1994-07-03,Everton FC,,,False,
Goalkeeper,right,,2013-03-07,Vito Mannone,188,33781,['Italy'],2500000,Arsenal FC,29,1988-02-03,Crawley Town,,,False,
Goalkeeper,left,,2016-07-09,Mika,195,138285,"['Portugal', 'Switzerland']",2000000,Boavista FC,26,1991-08-03,Without Club,,,False,
Goalkeeper,right,,2018-01-07,Maksymilian Stryjek,188,240457,"['Poland', 'England']",,Sunderland AFC U23,20,1996-07-18,Kilmarnock FC,,,False,
Centre-Back,right,,2016-01-27,Lamine Koné,188,57420,"[""Cote d'Ivoire"", 'France']",7000000,FC Lorient,28,1989-01-02,Retired,,,False,
Centre-Back,left,,2016-05-08,Papy Djilobodji,193,136610,['Senegal'],5000000,: Ablöse €9.50m,28,1988-01-12,Without Club,,,False,
Centre-Back,right,,2014-05-08,Jack Rodwell,188,57079,['England'],5000000,: Ablöse €12.50m,26,1991-11-03,Retired,,,False,
Centre-Back,right,,2016-08-31,Jason Denayer,184,277114,"['Belgium', 'DR Congo']",4000000,Manchester City,22,1995-06-28,Without Club,,,False,
Centre-Back,right,,2016-11-08,Paddy McNair,189,167268,['Northern Ireland'],4000000,Manchester United,22,1995-04-27,Hull City,,,False,
Centre-Back,right,,2015-07-16,Younès Kaboul,192,27114,"['France', 'Morocco']",2500000,: Ablöse €4.30m,31,1986-04-01,Retired,,,False,
Centre-Back,left,,2017-01-24,Joleon Lescott,191,4241,['England'],1000000,Without Club,34,1982-08-16,Retired,,,False,
Centre-Back,right,,2011-07-07,John O'Shea,192,3540,['Ireland'],1000000,Manchester United,36,1981-04-30,Retired,,,False,
Centre-Back,right,,,Michael Ledger,186,320228,['England'],,,19,1997-08-15,Consett AFC,,,False,
Left-Back,left,,2014-07-25,Patrick van Aanholt,176,52119,"['Netherlands', 'Curacao']",9000000,: Ablöse €1.90m,26,1990-08-29,Without Club,,,False,
Left-Back,left,,2017-01-30,Bryan Oviedo,172,124983,['Costa Rica'],2500000,Everton FC,27,1990-02-18,Without Club,,,False,
Left-Back,left,,2016-01-07,Tommy Robson,181,257968,['England'],,Sunderland AFC U23,21,1995-11-09,Dumbarton FC,,,False,
Right-Back,right,,2016-08-25,Javier Manquillo,178,162029,['Spain'],4000000,: Ablöse ?,23,1994-05-05,Retired,,,False,
Right-Back,right,,2015-04-07,Adam Matthews,178,108878,['Wales'],1500000,: Ablöse €2.80m,25,1992-01-13,Shamrock Rovers,,,False,
Right-Back,right,,2014-01-07,Billy Jones,182,36866,['England'],1500000,West Bromwich Albion,30,1987-03-24,Retired,,,False,
Right-Back,right,,2016-11-08,Donald Love,178,179451,"['Scotland', 'England']",1000000,Manchester United U23,22,1994-02-12,Accrington Stanley,,,False,
Right-Back,right,,2016-01-07,Lynden Gooch,173,307781,"['United States', 'Ireland']",750000,Sunderland AFC U23,21,1995-12-24,Huddersfield Town,,,False,
Right-Back,right,,,Josh Robson,180,357958,['England'],,,19,1998-03-02,Morpeth Town AFC,,,False,
Defensive Midfield,right,,2016-08-31,Didier Ndong,179,210081,['Gabon'],10000000,FC Lorient,23,1994-06-17,Without Club,,,False,
Defensive Midfield,right,,2009-12-08,Lee Cattermole,178,37363,['England'],3000000,Wigan Athletic,29,1988-03-21,Retired,,,False,
Defensive Midfield,right,,2016-07-01,Jan Kirchhoff,195,49734,['Germany'],3000000,: Ablöse €1.00m,26,1990-01-10,Retired,,,False,
Central Midfield,right,,2011-01-07,Sebastian Larsson,178,31720,['Sweden'],2500000,: Ablöse free transfer,32,1985-06-06,Retired,,,False,
Central Midfield,right,,2017-01-30,Darron Gibson,183,42413,"['Ireland', 'Northern Ireland']",1500000,Everton FC,29,1987-10-25,Retired,,,False,
Central Midfield,left,,2017-01-07,Ethan Robson,178,258199,['England'],,Sunderland AFC U23,20,1996-10-25,Without Club,,,False,
Left Midfield,both,,2016-08-19,Steven Pienaar,170,4321,['South Africa'],1000000,Everton FC,35,1982-03-17,Retired,,,False,
Attacking Midfield,right,,2015-01-07,George Honeyman,173,218140,['England'],250000,Sunderland AFC U21,22,1994-08-09,Blackpool FC,,,False,
Attacking Midfield,right,,,Rees Greenwood,176,320213,['England'],,,20,1996-10-12,Retired,,,False,
Attacking Midfield,right,,2018-01-07,Elliot Embleton,173,364828,['England'],,Sunderland AFC U23,18,1999-02-04,Carlisle United,,,False,
Left Winger,right,,2016-01-30,Wahbi Khazri,176,103565,"['Tunisia', 'France']",7000000,: Ablöse €11.80m,26,1991-08-02,Retired,,,False,
Right Winger,right,,2015-07-15,Jeremain Lens,178,38497,"['Netherlands', 'Suriname']",11000000,: Ablöse €11.40m,29,1987-11-24,Retired,,,False,
Right Winger,left,,2016-12-08,Adnan Januzaj,186,177847,"['Belgium', 'Kosovo']",7000000,Manchester United,22,1995-05-02,Without Club,,,False,
Right Winger,right,,2015-01-07,Duncan Watmore,175,248045,['England'],3000000,Sunderland AFC U21,23,1994-08-03,Retired,,,False,
Right Winger,,,2014-08-14,Will Buckley,183,77329,"['England', 'Ireland']",2000000,Brighton & Hove Albion,27,1989-11-21,Retired,,,False,
Right Winger,right,,2016-01-07,Joel Asoro,176,375391,"['Sweden', 'Nigeria']",,Sunderland AFC U18,18,1999-04-27,Djurgårdens IF,,,False,
Centre-Forward,right,,2015-08-31,Fabio Borini,180,96754,['Italy'],5000000,: Ablöse €10.70m,26,1991-03-29,Without Club,,,False,
Centre-Forward,right,,2022-01-31,Jermain Defoe,171,3875,"['England', 'St. Lucia']",5000000,: Ablöse free transfer,34,1982-07-10,Retired,,,False,
Centre-Forward,right,,2016-02-09,Victor Anichebe,190,39532,"['Nigeria', 'England']",1500000,Without Club,29,1988-04-23,Retired,,,False,
Centre-Forward,right,,2018-01-01,Josh Maja,181,453824,"['Nigeria', 'England']",,Sunderland AFC U23,18,1998-12-27,West Bromwich Albion,,,False,
