position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,,Danny Robinson,183,107820,"['England', 'New Zealand']",,,15,1982-01-09,Retired,,,False,
Goalkeeper,,,1995-07-13,Russell Hoult,193,3653,['England'],,: Ablöse €300k,25,1972-11-22,Retired,,,False,
Goalkeeper,left,,1997-03-26,Mart Poom,195,3715,['Estonia'],,: Ablöse €700k,26,1972-03-02,Retired,,,False,
Goalkeeper,,,1997-01-07,Richard Knight,,468494,['England'],,: Ablöse ?,18,1979-03-08,Retired,,,False,
Centre-Back,right,,1995-05-27,Darryl Powell,183,4081,"['Jamaica', 'England']",,: Ablöse €1.13m,26,1971-11-15,Retired,,,False,
Centre-Back,right,,1995-01-01,Dean Yates,185,107825,['England'],,: Ablöse ?,30,1967-10-26,Retired,,,False,
Centre-Back,right,,1995-10-31,Igor Stimac,188,103812,['Croatia'],,HNK Hajduk Split,30,1967-06-09,Retired,,,False,
Centre-Back,right,,1996-07-17,Jacob Laursen,183,4253,['Denmark'],,Silkeborg IF,26,1971-06-10,Retired,,,False,
Centre-Back,,,1996-01-07,Matt Carbon,188,43138,['England'],,: Ablöse free transfer,23,1975-08-06,Retired,,,False,
Centre-Back,right,,1997-01-07,Steve Elliott,185,13457,['England'],,Derby County U18,19,1978-10-29,Retired,,,False,
Centre-Back,right,,1996-12-08,Christian Dailly,183,3799,['Scotland'],,: Ablöse €750k,24,1973-10-23,Retired,,,False,
Left-Back,left,,1996-01-01,Chris Powell,178,4100,"['England', 'Jamaica']",,Southend United,28,1969-08-09,Retired,,,False,
Right-Back,right,,1995-01-07,Gary Rowett,185,4102,['England'],,: Ablöse €420k,24,1974-06-03,Retired,,,False,
Right-Back,right,,1997-01-07,Rob Kozluk,173,13525,"['England', 'Poland']",,Derby County U18,20,1977-05-08,Retired,,,False,
Midfielder,right,,1992-01-20,Paul Simpson,170,163617,['England'],,: Ablöse €600k,31,1966-07-26,Retired,,,False,
Defensive Midfield,right,,1992-06-07,Lee Carsley,178,3618,"['Ireland', 'England']",,Derby County U18,24,1974-02-28,Retired,,,False,
Central Midfield,right,,1998-06-02,Rory Delap,183,4112,"['Ireland', 'England']",,Carlisle United,21,1976-06-07,Retired,,,False,
Central Midfield,left,,1996-01-07,Aljosa Asanovic,186,103806,['Croatia'],,HNK Hajduk Split,32,1965-12-14,Retired,,,False,
Central Midfield,right,,1998-03-25,Lars Bohinen,185,102503,['Norway'],,Blackburn Rovers,28,1969-08-09,Retired,,,False,
Central Midfield,right,,1997-01-07,Marc Bridge-Wilkinson,168,39231,['England'],,Derby County U18,19,1979-03-16,Retired,,,False,
Right Midfield,right,,1997-01-07,Stefano Eranio,180,4227,['Italy'],,: Ablöse free transfer,31,1966-12-29,Retired,,,False,
Left Midfield,left,,1997-03-20,Mauricio Solís,178,16446,['Costa Rica'],,CS Herediano,25,1972-12-13,Retired,,,False,
Attacking Midfield,,,1995-01-08,Robin van der Laan,180,107826,['Netherlands'],,: Ablöse €700k,29,1968-05-09,Retired,,,False,
Attacking Midfield,left,,1994-01-12,Paul Trollope,183,175993,['Wales'],,: Ablöse €150k,26,1972-03-06,Retired,,,False,
Right Winger,right,,1997-01-07,Jonathan Hunt,180,107811,['England'],,: Ablöse €750k,26,1971-02-11,Retired,,,False,
Second Striker,both,,1997-01-08,Francesco Baiano,170,107802,['Italy'],,: Ablöse €1.00m,30,1968-02-24,Retired,,,False,
Centre-Forward,right,,1996-01-01,Ashley Ward,185,13548,['England'],,: Ablöse €1.40m,27,1970-11-24,Retired,,,False,
Centre-Forward,right,,1991-01-07,Dean Sturridge,173,4230,"['England', 'Jamaica']",,Derby County U18,24,1973-07-26,Retired,,,False,
Centre-Forward,right,,1997-03-20,Paulo Wanchope,193,3230,"['Costa Rica', 'England']",,CS Herediano,21,1976-07-31,Retired,,,False,
Striker,,,1995-07-27,Ron Willems,,107824,['Netherlands'],,: Ablöse €450k,31,1966-09-20,Retired,,,False,
Centre-Forward,right,,1997-06-08,Deon Burton,178,3464,"['Jamaica', 'England']",,: Ablöse €1.25m,21,1976-10-25,Retired,,,False,
