position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub,jerseyNumber,ageAtSeasonStart,isLoan,loanedFrom
Goalkeeper,,,1985-07-11,Kevin Pressman,185,10242,['England'],,Sheffield Wednesday U18,31,1967-06-11,Retired,,,False,
Goalkeeper,,,1998-11-11,Pavel Srnicek,188,5963,"['Czech Republic', 'France']",,FC Banik Ostrava,31,1968-10-03,---,,,False,
Centre-Back,right,,1994-01-07,Peter Atherton,180,13552,['England'],,Coventry City,29,1970-06-04,Retired,,,False,
Centre-Back,right,,1996-03-16,Jon Newsome,188,107093,['England'],,: Ablöse €2.25m,28,1970-06-09,Retired,,,False,
Centre-Back,right,,1993-01-07,Des Walker,180,10000,"['England', 'Jamaica']",,UC Sampdoria,33,1965-11-26,Retired,,,False,
Centre-Back,left,,1995-12-22,Dejan Stefanovic,180,4308,['Serbia'],,Red Star Belgrade,24,1974-10-28,Retired,,,False,
Centre-Back,both,,1998-03-26,Émerson Thome,188,3643,"['Brazil', 'Portugal']",,: Ablöse free transfer,27,1972-03-30,Retired,,,False,
Left-Back,left,,1994-01-07,Lee Briscoe,180,13994,['England'],,Sheffield Wednesday U18,23,1975-09-30,Retired,,,False,
Left-Back,left,,1995-01-08,Ritchie Humphreys,178,66930,['England'],,Sheffield Wednesday U18,21,1977-11-30,Retired,,,False,
Left-Back,left,,1998-01-01,Andy Hinchcliffe,178,106797,['England'],,: Ablöse €4.50m,30,1969-05-02,Retired,,,False,
Right-Back,right,,1998-01-07,Juan Cobian,168,223281,['Argentina'],,CA Boca Juniors II,23,1975-11-09,Retired,,,False,
Right-Back,right,,1998-02-25,Earl Barrett,180,106795,['England'],,: Ablöse free transfer,32,1967-04-28,Retired,,,False,
Right-Back,right,,1999-01-07,Steve Haslam,180,13411,['England'],,Sheffield Wednesday U18,19,1979-06-09,Retired,,,False,
Defensive Midfield,right,,1998-01-07,Wim Jonk,185,101046,['Netherlands'],,: Ablöse €2.80m,32,1966-12-10,Retired,,,False,
Midfielder,,,1999-01-03,Phil Scott,185,211267,['Scotland'],,: Ablöse €110k,24,1974-11-14,Retired,,,False,
Midfielder,,,,Mark McKeever,,208977,['Scotland'],,,23,1975-11-07,Larkhall Thistle,,,False,
Defensive Midfield,N/A,,1998-01-10,Danny Sonner,,9998,"['Northern Ireland', 'England']",,Ipswich Town,27,1972-09-01,Retired,,,False,
Central Midfield,,,1988-01-05,Graham Hyde,,106798,['England'],,Sheffield Wednesday U18,28,1970-10-11,Retired,,,False,
Central Midfield,right,,1997-10-09,Jim Magilton,183,3481,['Northern Ireland'],,Southampton FC,30,1969-06-05,Retired,,,False,
Central Midfield,right,,1997-12-10,Petter Rudi,191,6641,['Norway'],,Molde FK,25,1973-09-17,Retired,,,False,
Central Midfield,left,,1997-01-12,Alan Quinn,175,15561,['Ireland'],,Cherry Orchard FC,20,1979-06-13,Retired,,,False,
Right Midfield,right,,1997-05-12,Niclas Alexandersson,181,3265,['Sweden'],,: Ablöse €1.10m,27,1971-12-29,Retired,,,False,
Left Midfield,left,,1998-01-07,Owen Morrison,173,42365,['Northern Ireland'],,Sheffield Wednesday U18,17,1981-08-12,Retired,,,False,
Second Striker,,,1998-01-03,Francesco Sanetti,185,106803,['Italy'],,: Ablöse free transfer,20,1979-11-01,Retired,,,False,
Second Striker,right,,1996-01-10,Benny Carbone,168,3389,['Italy'],,: Ablöse €5.12m,27,1971-08-14,Retired,,,False,
Centre-Forward,right,,1994-12-21,Guy Whittingham,175,106806,['England'],,: Ablöse €1.10m,34,1964-10-11,Retired,,,False,
Centre-Forward,,,1996-08-07,Andy Booth,183,49086,['England'],,: Ablöse €3.90m,25,1973-06-12,Retired,,,False,
Centre-Forward,both,,1997-06-08,Paolo Di Canio,178,3699,['Italy'],,: Ablöse free transfer,30,1968-09-07,Retired,,,False,
Striker,,,1996-01-08,Scott Oakes,180,107098,['England'],,: Ablöse €640k,26,1972-05-08,Retired,,,False,
Centre-Forward,right,,1999-03-25,Richard Cresswell,183,14002,['England'],,York City,21,1977-09-20,Retired,,,False,
Centre-Forward,left,,1997-01-07,Junior Agogo,180,27761,"['Ghana', 'England']",,Sheffield Wednesday U18,19,1979-01-08,---,,,False,
